..
Name                                                                                                                              OS       Location                                                                                                                                      
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-723.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-723.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-735.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-738.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-745.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-752.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-758.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-766.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-774.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-779.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-788.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
